symbol,date,high,low,close,volume,ema50,ema200,rsi,return_1m,return_3m,return_6m,avg_volume_30,volume_expansion
DCMSHRIRAM,2026-05-25,1121.9,1085.0,1090.3,60234,,,,,,,,
DEEPAKFERT,2026-05-25,1503.4,1445.4,1456.5,477375,,,,,,,,
DEEPAKNTR,2026-05-25,1764.2,1740.1,1745.9,101746,,,,,,,,
DELHIVERY,2026-05-25,460.2,449.1,455.45,3126164,,,,,,,,
DEVYANI,2026-05-25,117.23,114.55,116.04,643049,,,,,,,,
DIVISLAB,2026-05-25,6945.0,6690.0,6756.5,874049,,,,,,,,
DIXON,2026-05-25,11888.0,11602.0,11824.0,578594,,,,,,,,
DLF,2026-05-25,596.4,589.15,592.3,2007544,,,,,,,,
DMART,2026-05-25,4154.9,4077.6,4097.2,284287,,,,,,,,
DOMS,2026-05-25,2231.0,2194.0,2205.0,31369,,,,,,,,
DRREDDY,2026-05-25,1340.5,1298.7,1331.4,4659781,,,,,,,,
ECLERX,2026-05-25,1621.0,1570.6,1588.1,242118,,,,,,,,
EICHERMOT,2026-05-25,7432.0,7215.0,7414.0,1354536,,,,,,,,
EIDPARRY,2026-05-25,794.0,781.4,789.85,112672,,,,,,,,
EIHOTEL,2026-05-25,324.45,317.8,321.05,155806,,,,,,,,
ELECON,2026-05-25,550.0,527.85,547.4,876345,,,,,,,,
ELGIEQUIP,2026-05-25,573.0,561.0,567.9,289333,,,,,,,,
EMAMILTD,2026-05-25,409.0,402.1,404.05,265338,,,,,,,,
EMCURE,2026-05-25,1740.9,1705.0,1738.3,75783,,,,,,,,
EMMVEE,2026-05-25,290.7,265.25,290.25,11654366,,,,,,,,
ENDURANCE,2026-05-25,2811.0,2748.2,2801.2,198009,,,,,,,,
ENGINERSIN,2026-05-25,229.45,216.65,228.6,8741247,,,,,,,,
ENRIN,2026-05-25,3640.0,3425.0,3559.6,519128,,,,,,,,
ERIS,2026-05-25,1358.0,1339.2,1353.5,63907,,,,,,,,
ESCORTS,2026-05-25,2985.0,2940.5,2976.5,67529,,,,,,,,
ETERNAL,2026-05-25,249.35,244.0,247.67,20066077,,,,,,,,
EXIDEIND,2026-05-25,349.0,340.7,346.25,1597876,,,,,,,,
